League,Mean_Possession,Median_Possession,Max_Possession,Min_Possession,Possession_Range,Gls_mean,Gls_std,Gls_CV,xG_xG_mean,xG_xG_std,goal_efficiency,PrgP_per_90,PrgC_per_90,avg_actions_per_poss,yellow_per90,red_per90,physicality_index,avg_poss,physicality_index_with_poss,def_workload,def_aggression,def_efficiency
Bundesliga,48.584583333333335,46.6125,63.720000000000006,41.5,22.220000000000006,1.5254444444444444,0.5081364081016552,0.3331071216341246,1.4596666666666667,0.3759167072457898,1.0306884023519194,37.66699346405229,15.883986928104575,3277.757034271236,1.930718954248366,0.06862745098039216,1.0339869281045753,49.99333333333333,2.0341202614379084,50.00666666666667,1.9993464052287582,-0.04506356093476431
La Liga,49.329629629629636,49.3,65.32000000000001,40.324999999999996,24.99500000000001,1.242,0.4019749225807978,0.3236513064257631,1.2663,0.31819774996188777,0.971853667737601,36.432631578947365,16.56078947368421,4027.74166449987,2.4015789473684213,0.12526315789473685,1.3260526315789476,49.997,2.3261126315789475,50.003,2.526842105263158,0.019189765458422117
Ligue 1,48.73846153846154,47.53333333333333,64.0,41.233333333333334,22.766666666666666,1.3628125000000002,0.39951998336161243,0.2931584376879522,1.38,0.3286143156057761,0.982215065027955,39.89982876712329,17.70947488584475,4037.3441113356535,1.8878424657534247,0.1264269406392694,1.0703481735159817,49.99895833333333,2.0703690068493152,50.00104166666667,2.0142694063926943,0.012454710144927366
Premier League,48.056172839506175,47.0,64.52000000000001,37.9,26.62000000000001,1.4055000000000002,0.45136465358405126,0.3211416958975818,1.4033000000000002,0.3586001261921842,0.9908037299503295,37.66368421052631,18.07342105263158,4235.850565977361,1.871578947368421,0.060789473684210525,0.996578947368421,50.001999999999995,1.9965389473684212,49.998000000000005,1.9323684210526315,-0.0015677332003135383
Serie A,49.010178571428575,48.516666666666666,58.14,42.1,16.04,1.3228,0.41493842795033936,0.31368190803624085,1.295,0.3102214914176219,1.0092485533322633,36.24578947368421,17.251315789473683,4065.3734626537344,2.178421052631579,0.09815789473684211,1.1873684210526316,50.005,2.1872684210526314,49.995,2.276578947368421,-0.021467181467181476
